date,cash,market_value,total_value,positions
2022-10-14,9821.847450256348,196.05230140686035,10017.899751663208,"UCOBANK.NS,YESBANK.NS"
2022-10-17,9821.847450256348,195.31774806976318,10017.16519832611,"UCOBANK.NS,YESBANK.NS"
2022-10-18,9821.847450256348,198.5250978469849,10020.372548103333,"UCOBANK.NS,YESBANK.NS"
2022-10-19,9821.847450256348,200.99788856506348,10022.845338821411,"UCOBANK.NS,YESBANK.NS"
2022-10-20,9821.847450256348,201.29788970947266,10023.14533996582,"UCOBANK.NS,YESBANK.NS"
2022-10-21,9821.847450256348,203.6361207962036,10025.483571052551,"UCOBANK.NS,YESBANK.NS"
2022-10-24,9821.847450256348,203.13980770111084,10024.987257957458,"UCOBANK.NS,YESBANK.NS"
2022-10-25,9846.955318450928,181.47754096984866,10028.432859420776,"YESBANK.NS,UCOBANK.NS"
2022-10-27,9846.955318450928,184.06748390197754,10031.022802352905,"YESBANK.NS,UCOBANK.NS"
2022-10-28,9846.955318450928,181.7775363922119,10028.73285484314,"YESBANK.NS,UCOBANK.NS"
2022-10-31,9846.955318450928,182.5295000076294,10029.484818458557,"YESBANK.NS,UCOBANK.NS"
2022-11-01,9846.955318450928,182.22949886322021,10029.184817314148,"YESBANK.NS,UCOBANK.NS"
2022-11-02,9846.955318450928,185.60939598083496,10032.564714431763,"YESBANK.NS,UCOBANK.NS"
2022-11-03,9846.955318450928,194.27925395965576,10041.234572410583,"YESBANK.NS,UCOBANK.NS"
2022-11-04,9846.955318450928,199.7591667175293,10046.714485168457,"YESBANK.NS,UCOBANK.NS"
2022-11-07,9861.585478782654,187.08095741271973,10048.666436195374,"YESBANK.NS,UCOBANK.NS"
2022-11-09,9861.585478782654,190.55743217468262,10052.142910957336,"YESBANK.NS,UCOBANK.NS"
2022-11-10,9861.585478782654,185.91184616088867,10047.497324943542,"YESBANK.NS,UCOBANK.NS"
2022-11-11,9861.585478782654,188.8809642791748,10050.466443061829,"YESBANK.NS,UCOBANK.NS"
2022-11-14,9861.585478782654,188.35302543640137,10049.938504219055,"YESBANK.NS,UCOBANK.NS"
2022-11-15,9861.585478782654,186.60448837280273,10048.189967155457,"YESBANK.NS,UCOBANK.NS"
2022-11-16,9861.585478782654,188.63242721557617,10050.21790599823,"YESBANK.NS,UCOBANK.NS"
2022-11-17,9861.585478782654,188.90155792236328,10050.487036705017,"YESBANK.NS,UCOBANK.NS"
2022-11-18,9861.585478782654,192.3574390411377,10053.942917823792,"YESBANK.NS,UCOBANK.NS"
2022-11-21,9879.595545768738,189.95033264160156,10069.54587841034,"YESBANK.NS,UCOBANK.NS"
2022-11-22,9879.595545768738,203.45572471618652,10083.051270484924,"YESBANK.NS,UCOBANK.NS"
2022-11-23,9879.595545768738,197.9101333618164,10077.505679130554,"YESBANK.NS,UCOBANK.NS"
2022-11-24,9879.595545768738,200.4415168762207,10080.037062644958,"YESBANK.NS,UCOBANK.NS"
2022-11-25,9879.595545768738,201.890043258667,10081.485589027405,"YESBANK.NS,UCOBANK.NS"
2022-11-28,9879.595545768738,202.84862327575684,10082.444169044495,"YESBANK.NS,UCOBANK.NS"
2022-11-29,9879.595545768738,200.0758171081543,10079.671362876892,"YESBANK.NS,UCOBANK.NS"
2022-11-30,9879.595545768738,198.50302505493164,10078.09857082367,"YESBANK.NS,UCOBANK.NS"
2022-12-01,9879.595545768738,200.31723976135254,10079.91278553009,"YESBANK.NS,UCOBANK.NS"
2022-12-02,9879.595545768738,202.4172420501709,10082.012787818909,"YESBANK.NS,UCOBANK.NS"
2022-12-05,9879.595545768738,203.20009422302246,10082.79563999176,"YESBANK.NS,UCOBANK.NS"
2022-12-06,9879.595545768738,207.12141036987305,10086.71695613861,"YESBANK.NS,UCOBANK.NS"
2022-12-07,9987.028244972229,104.70000457763672,10091.728249549866,YESBANK.NS
2022-12-08,9987.028244972229,106.5,10093.528244972229,YESBANK.NS
2022-12-09,10006.728245735168,98.50000381469727,10105.228249549866,YESBANK.NS
2022-12-12,10006.728245735168,105.50000190734863,10112.228247642517,YESBANK.NS
2022-12-13,10126.478249549866,0.0,10126.478249549866,
2022-12-14,10126.478249549866,0.0,10126.478249549866,
2022-12-15,10126.478249549866,0.0,10126.478249549866,
2022-12-16,10126.478249549866,0.0,10126.478249549866,
2022-12-19,10126.478249549866,0.0,10126.478249549866,
2022-12-20,10126.478249549866,0.0,10126.478249549866,
2022-12-21,10027.228247642517,99.25000190734863,10126.478249549866,YESBANK.NS
2022-12-22,10027.228247642517,94.75000381469727,10121.978251457214,YESBANK.NS
2022-12-23,10027.228247642517,87.25000381469727,10114.478251457214,YESBANK.NS
2022-12-26,10027.228247642517,98.00000190734863,10125.228249549866,YESBANK.NS
2022-12-27,10027.228247642517,100.74999809265138,10127.978245735168,YESBANK.NS
2022-12-28,10027.228247642517,100.74999809265138,10127.978245735168,YESBANK.NS
2022-12-29,10027.228247642517,100.74999809265138,10127.978245735168,YESBANK.NS
2022-12-30,10130.228249549866,0.0,10130.228249549866,
2023-01-02,10130.228249549866,0.0,10130.228249549866,
2023-01-03,10130.228249549866,0.0,10130.228249549866,
2023-01-04,10130.228249549866,0.0,10130.228249549866,
2023-01-05,10130.228249549866,0.0,10130.228249549866,
2023-01-06,10130.228249549866,0.0,10130.228249549866,
2023-01-09,10130.228249549866,0.0,10130.228249549866,
2023-01-10,10130.228249549866,0.0,10130.228249549866,
2023-01-11,10130.228249549866,0.0,10130.228249549866,
2023-01-12,10030.728251457214,99.49999809265138,10130.228249549866,YESBANK.NS
2023-01-13,10030.728251457214,100.74999809265138,10131.478249549866,YESBANK.NS
2023-01-16,10030.728251457214,100.74999809265138,10131.478249549866,YESBANK.NS
2023-01-17,10030.728251457214,100.50000190734863,10131.228253364563,YESBANK.NS
2023-01-18,10030.728251457214,101.75000190734863,10132.478253364563,YESBANK.NS
2023-01-19,10030.728251457214,100.74999809265138,10131.478249549866,YESBANK.NS
2023-01-20,10030.728251457214,98.75,10129.478251457214,YESBANK.NS
2023-01-23,10030.728251457214,90.74999809265138,10121.478249549866,YESBANK.NS
2023-01-24,10030.728251457214,91.00000381469727,10121.728255271912,YESBANK.NS
2023-01-25,10030.728251457214,89.49999809265137,10120.228249549866,YESBANK.NS
2023-01-27,10030.728251457214,87.5,10118.228251457214,YESBANK.NS
2023-01-30,10030.728251457214,85.50000190734863,10116.228253364563,YESBANK.NS
2023-01-31,10030.728251457214,86.25,10116.978251457214,YESBANK.NS
2023-02-01,10030.728251457214,84.49999809265137,10115.228249549866,YESBANK.NS
2023-02-02,10030.728251457214,84.25000190734863,10114.978253364563,YESBANK.NS
2023-02-03,10112.978255271912,0.0,10112.978255271912,
2023-02-06,10112.978255271912,0.0,10112.978255271912,
2023-02-07,10112.978255271912,0.0,10112.978255271912,
2023-02-08,10112.978255271912,0.0,10112.978255271912,
2023-02-09,10112.978255271912,0.0,10112.978255271912,
2023-02-10,10112.978255271912,0.0,10112.978255271912,
2023-02-13,10112.978255271912,0.0,10112.978255271912,
2023-02-14,10112.978255271912,0.0,10112.978255271912,
2023-02-15,10112.978255271912,0.0,10112.978255271912,
2023-02-16,10112.978255271912,0.0,10112.978255271912,
2023-02-17,10112.978255271912,0.0,10112.978255271912,
2023-02-20,10013.378252983093,99.60000228881836,10112.978255271912,YESBANK.NS
2023-02-21,10013.378252983093,100.20000457763672,10113.57825756073,YESBANK.NS
2023-02-22,10013.378252983093,97.79999542236328,10111.178248405457,YESBANK.NS
2023-02-23,10013.378252983093,98.39999771118164,10111.778250694275,YESBANK.NS
2023-02-24,10013.378252983093,96.89999771118164,10110.278250694275,YESBANK.NS
2023-02-27,10013.378252983093,98.39999771118164,10111.778250694275,YESBANK.NS
2023-02-28,10013.378252983093,104.70000457763672,10118.07825756073,YESBANK.NS
